v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,ok wahala rememb friend need,,,
ham,see half hour,,,
ham,im inperialmus listening2th weirdest track ever byåóleafcutt johnåó sound like insect molest someon plumb remix evil men acid,,,
ham,hey sorri didntgiv ya bellearli hunni,"just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.\""""",,
ham,serious tell exact word right,,,
spam,u get NUMBER phone wanna chat NUMBER set meet call NUMBER u cum 2moro luv jane xx callså NUMBER minmoremobsemspobox45po139wa,,,
ham,tee hee lectur cheeri bye bye,,,
ham,sorri chikku cell got problem tht nt abl repli u msg u,,,
ham,still havent collect dough pl let know go place sent get control number,,,
ham,ok,,,
spam,network oper servic free c visit NUMBER biz,,,
ham,let know contact settl room let know ok,,,
ham,wot u NUMBER u weirdo,,,
ham,lor,,,
ham,dont put phone silent mode ok,,,
ham,meet ì_ NUMBER NUMBER depend ì_ wan NUMBER lor,,,
ham,wait NUMBER tv show NUMBER start lor u leh still busi ur report,,,
ham,oh ho first time u use type word,,,
ham,one stalk profil,,,
ham,ever green quot ever told jerri cartoon person irrit u alway one love u vri much fail express gud nyt,,,
ham,ye thought thank,,,
ham,drinkin ok,,,
ham,wonder other took,,,
ham,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay gud mrng,,,
ham,dog must alway wait till end day word run time cell alreadi,,,
ham,happi new year u,,,
ham,hey great deal farm tour 9am 5pm dollar95 pax dollar50 deposit NUMBER may,,,
ham,eat jap done oso aft ur lect wat ìï got lect NUMBER rite,,,
ham,hey babe saw came onlin second disappear happen,,,
ham,da birthdat certif april real date today dont publish shall give special treat keep secret way thank wish,,,
ham,happi birthday may ur dream come true,,,
ham,aiyah u ok alreadi lar e nydc wheellock,,,
ham,tell said eat shit,,,
ham,sure drive reach destin soon,,,
ham,k much 8th fifti,,,
ham,daili text ûò favour time,,,
ham,great hear settl well happenin wit ola,,,
ham,cocksuck make feel better ipad worthless garbag novelti item feel bad even want one,,,
ham,tot u reach liao said shirt,,,
ham,fran decid NUMBER go n e way im complet broke knacker got bout NUMBER c u 2mrw love janx p dad fone credit,,,
ham,cant pick phone right pl send messag,,,
ham,right make appoint right,,,
ham,design softwar develop may get chennai,,,
spam,enjoy jamster videosound gold club credit NUMBER new videosound NUMBER logo musicnew get fun jamster co uk NUMBER help call NUMBER,,,
spam,get NUMBER lion england tone repli lionm NUMBER mono lionp NUMBER poli NUMBER go NUMBER url rington co uk origin n best tone 3gbp network oper rate appli,,,
ham,jokin oni lar ìï busi wun disturb ì_,,,
ham,ok care text drive,,,
ham,alway even spirit get bb soon tri sure need,,,
ham,u r much close heart u go away shatter plz stay,,,
ham,love u NUMBER babe r u sure everyth alrit idiot txt bak girli,,,
ham,abt make pic bigger,,,
ham,got got NUMBER colour lor one colour quit light n e darker lor actual done style hair,,,
ham,whenevr ur sad whenevr ur gray remembr im NUMBER listn NUMBER watevr u wanna say ju walk wid littl amp promis bring back ur smile,,,
ham,noth ok anyway give treat,,,
spam,win newest ûïharri potter order phoenix book NUMBER repli harri answer NUMBER question chanc first among reader,,,
ham,ok,,,
ham,correct work today,,,
ham,sent scream moan bed princess,,,
ham,wake long ago alreadi dunno thing,,,
ham,oh get even u u,,,
ham,thk NUMBER shd ok said plu minu NUMBER ì_ leav line paragraph,,,
ham,call plz number show coveragd area urgnt call vasai amp reach NUMBER clock call plz,,,
ham,yeah jay sort fuck retard,,,
ham,sorri bathroom sup,,,
spam,ur balanc å NUMBER ur next question sang uptown girl NUMBER NUMBER answer txt ur answer NUMBER good luck,,,
ham,exam februari NUMBER wish great day,,,
ham,dont know come ask question like dont mistak,,,
ham,aight rush ask jay,,,
ham,good morn plz call sir,,,
ham,ok lar u sleep earli nite,,,
ham,oh icic k lor den meet day,,,
ham,oh half hour much longer syria canada eh wow must get much work done day us extra time grin,,,
ham,sometim put wall around heart safe get hurt find care enough break wall amp get closer goodnoon,,,
ham,sweet may may go 4u meet carlo gaug patti interest,,,
ham,buy today ìï need c meh,,,
ham,aight sorri take ten year shower plan,,,
ham,everi monday nxt week vl complet,,,
ham,might ax well im,,,
ham,chill anoth 6hr could sleep pain surgic emerg see unfold okay,,,
ham,yeah tri scroung someth,,,
ham,crazi ar marri ìï like gd look guy fren like say korean leona fave dun thk aft think mayb prob go,,,
ham,somewher fredericksburg,,,
ham,que pase un buen tiempo someth like,,,
ham,ok stay night xavier sleep bag get tire,,,
ham,doesnt need test,,,
ham,noth much chillin home super bowl plan,,,
spam,free2day sexi st georg day pic jordan txt pic NUMBER dont miss everi wk sauci celeb NUMBER pic c pocketbab co uk NUMBER å NUMBER wk,,,
ham,bugi oso near wat,,,
ham,yo there class tmrw right,,,
ham,let ur heart ur compass ur mind ur map ur soul ur guid u never loos world gnun sent via way2sm com,,,
ham,goodnight sleep well da pleas take care pa pleas,,,
ham,baaaaab misss youuuuu go teach class NUMBER,,,
ham,convey regard,,,
ham,u ned convinc tht possibl witot hurt feel main,,,
ham,good afternoon loverboy goe day luck come way think sweeti send love across sea make smile happi,,,
ham,start send blackberri torch nigeria find buyer like 4a month tell dad buy bb anyon oh,,,
ham,lt gt pple marri lover becz hav gud undrstndng dat avoid problem sent di NUMBER u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send lt gt frnd lt gt min whn u read,,,
ham,yo dude guess got arrest day,,,
ham,shuhui say chang NUMBER suntec steamboat u noe r u,,,
ham,danc river,,,
ham,yetund sorri moji seem busi abl go shop pleas find way get want us get pleas forgiv repli free via yahoo messeng,,,
ham,hey realli pretti late want go lesson first join reach tp mrt,,,
spam,hot live fantasi call NUMBER 20p per min ntt ltd po box NUMBER croydon cr9 5wb NUMBER k,,,
ham,bbq sat mine 6ish ur welcom NUMBER come,,,
ham,know thing wrong everyso often panick start goin bout bein good enough û_,,,
ham,alright good night,,,
ham,tri make anoth butt,,,
ham,hope feel great pl fill abiola,,,
ham,though shd go n fun bar town someth ûò sound ok,,,
ham,NUMBER go write msg NUMBER put dictionari mode NUMBER cover screen hand NUMBER press lt gt NUMBER gentli remov ur hand interest,,,
spam,bear pic nick tom pete dick fact type tri gay chat photo upload call NUMBER 10p min NUMBER stop text call NUMBER,,,
spam,NUMBER new mobil NUMBER must go txt nokia NUMBER collect today å NUMBER url NUMBER tc biz 2optout NUMBER 50gbp mtmsg18 txtauction,,,
ham,final readi fyi,,,
ham,aunti huai juan never pick phone,,,
spam,doubl min doubl txt NUMBER NUMBER price linerent latest orang bluetooth mobil call mobileupd8 latest offer NUMBER call2optout lf56,,,
ham,ya tel wat ur problem,,,
spam,NUMBER nokia tone NUMBER ur mob everi week txt nok NUMBER 1st tone free get txtin tell ur friend 150p tone NUMBER repli hl 4info,,,
ham,dnt wnt tlk wid u,,,
ham,spend day wait ideal path appear front us forget path made walk wait goodnight,,,
ham,ok arm feel weak cuz got shot go anoth time,,,
ham,pleas reserv ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve alreadi see net ticket avail want book ticket tackl,,,
ham,storm msg wen u lift phne u say hello u knw wt real mean hello name girl ye u knw dat girl margaret hello girlfrnd f grahmbel invnt telphon moral one 4get name person," bt not his girlfrnd... G o o d n i g h t . . .@""",,
ham,ok pop ask bout someth said around tonght wen girl come,,,
ham,e best NUMBER ur exam later,,,
ham,hope ur head hurt NUMBER much plough way pile iron stay chinki tonight come round like,,,
ham,oh k think wi nz player unsold,,,
ham,haha got fast lose weight thk muz go NUMBER month den got effect gee later go aust put bk e weight,,,
ham,wonder got onlin love gone net cafe get phone recharg friend net think boytoy,,,
ham,haha kid papa need drug,,,
ham,thk shld b ya wana go NUMBER lesson haha go one whole stretch,,,
ham,oh ok,,,
ham,r still meet NUMBER dinner tonight,,,
ham,that cool gentleman treat digniti respect,,,
ham,shall start hear,,,
ham,wait NUMBER u lor need NUMBER feel bad lar,,,
ham,check got detail messag,,,
ham,regist sinco paye log icicibank com enter urn lt gt confirm bewar fraud share disclos urn anyon,,,
ham,decid peopl care stuff vote care stuff loser,,,
ham,kaiez enjoy ur tuition gee thk e second option sound beta go yan jiu den msg u,,,
ham,regist sinco paye log icicibank com enter urn lt gt confirm bewar fraud share disclos urn anyon,,,
ham,cool fun practic make babi,,,
ham,actual get readi leav hous,,,
ham,k k special today,,,
spam,urgent import inform o2 user today lucki day NUMBER find log onto http www urawinn com fantast surpris await,,,
ham,gotta,,,
ham,got ten buck jay noncomitt,,,
ham,hungri,,,
ham,pl speak custom machan,,,
ham,somewher beneath pale moon light someon think u dream come true goodnit amp sweet dream,,,
ham,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,,,
spam,dear u invit xchat final attempt contact u txt chat NUMBER 150p msgrcvdhg suite342 2land row w1j6hl ldn NUMBER yr,,,
ham,wat ur opinion abt abt charact,,,
ham,jay snicker tell x total fuck chord speak,,,
ham,hour went hair cut,,,
ham,wonder co dun rem see silver car thk saw black one,,,
ham,lmao take pic send,,,
ham,speak feel word better silenc gud mrng,,,
ham,current scotland,,,
ham,work week,,,
spam,congratul ur award either å NUMBER cd gift voucher free entri NUMBER å NUMBER weekli draw txt music NUMBER tnc url ldew com NUMBER win150ppmx3age16,,,
ham,lol great im get hungri,,,
ham,ye saw messag,,,
ham,mu like lt gt second,,,
ham,ok,,,
ham,thing r good thanx got exam march ive done revis fran still boyf ive gotta interviw NUMBER exet bit worri x,,,
ham,tell make littl spreadsheet track whose idea smoke determin smoke much entir month februari," I'll come up""",,
spam,sale arsen dartboard good condit doubl trebl,,,
ham,look back build coat want get sick hurri home wear coat gym,,,
ham,pain person thought alway tri keep everybodi happi time nobodi recognis alon,,,
ham,thank love wish rock,,,
ham,intrepid duo great time see soon,,,
ham,ask sen come chennai search job,,,
ham,dad went oredi,,,
ham,ju hope true missin co realli missin done anyth feel guilti yet,,,
ham,wat late still earli mah juz go NUMBER dinner lor aiya dunno,,,
ham,arm fine cardiff uni,,,
ham,fact leav think addi goe back school tue wed,,,
ham,cool breez bright sun fresh flower twitter bird wait wish u goodmorn amp nice day,,,
ham,ya go restaur,,,
ham,ok askd u knw tht,,,
spam,free 1st week entri NUMBER textpod NUMBER chanc NUMBER win 40gb ipod å NUMBER cash everi wk txt pod NUMBER ts cs url textpod net custcar NUMBER,,,
ham,duck chinchilla,,,
ham,marriag function,,,
ham,look like u wil b get headstart im leav bout NUMBER 30ish u r desper compani could head earlier goin meet rummer,,,
ham,û give fli monkey wot think certainli û mind friend mine,,,
spam,regist optin subscrib ur draw NUMBER å NUMBER gift voucher enter receipt correct an NUMBER what no1 bbc chart,,,
ham,say thanks2,,,
ham,msg rajini come,,,
ham,ya ì_ take ure practic lesson start june,,,
ham,good need drug,,,
ham,stupid possibl,,,
ham,ì_ decid faster co si go home liao,,,
spam,summer final fanci chat flirt sexi singl yr area get match repli summer free NUMBER join optout txt stop help08714742804,,,
ham,u sleep go take haha got spi wat onlin check n repli mail lor,,,
spam,clair havin borin time alon u wanna cum 2nite chat NUMBER hope NUMBER c u luv clair xx callså NUMBER minmoremobsemspobox45po139wa,,,
ham,fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,,,
spam,bought one rington get text cost NUMBER pound offer tone etc,,,
ham,yalru lyfu astn chikku bt innu mundh lyf ali halla ke bilo marriag program edha lyf nt yet ovr chikku ali vargu lyfu meow meow,,,
ham,kinda first one get twelv aah speak tomo,,,
spam,NUMBER urgent mobil 07xxxxxxxxx å NUMBER NUMBER bonu caller prize NUMBER NUMBER NUMBER 2nd attempt reach call NUMBER asap,,,
ham,ok good later come find ì_ c lucki told ì_ go earlier later pple take finish ì_,,,
ham,wat make u thk fall actual thk quit prone NUMBER fall lucki dad home ask come n fetch alreadi,,,
spam,NUMBER guarante latest nokia phone 40gb ipod mp3 player å NUMBER prize txt word collect NUMBER tc llc ny usa 150p mt msgrcvd18,,,
ham,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,,,
ham,wont touch permiss,,,
spam,hi luci hubbi meetin day fri b alon hotel u fanci cumin pl leav msg 2day NUMBER luci x callså NUMBER minmobsmorelkpobox177hp51fl,,,
ham,NUMBER wonder world 7th 6th ur style 5th ur smile 4th ur person 3rd ur natur 2nd ur sm 1st ur love friendship good morn dear,,,
ham,take small dose tablet fever,,,
ham,oh u must taken real valentin shop first,,,
ham,sent email ûò address incomm right,,,
ham,gonna blake night might abl get littl earli,,,
ham,friendship game play word say start march end may tomorrow yesterday today e,,,
ham,nice wait text right gonna pay ticket ya know,,,
ham,watch lotr w si di aft u wan NUMBER meet NUMBER dinner nite,,,
ham,keep away like,,,
ham,think far find check googl map place dorm,,,
ham,trip ok quit tire lor uni start today ok NUMBER co take modul ju concentr final yr project,,,
ham,alway say welp,,,
ham,guy browsin compulsori,,,
ham,ok,,,
ham,puriti friendship two smile read forward messag smile see name gud evng musthu,,,
ham,sorri call later,,,
ham,add realli care least get dude fuck hey money want,,,
ham,hello lover goe new job happi think wake slave send teas kiss across sea,,,
ham,told number gautham,,,
ham,tell need investig anywher,,,
ham,ok juz receiv,,,
ham,cant believ said mani thing morn realli want say good morn love beauti morn see librari later,,,
spam,account credit NUMBER free text messag activ txt word credit NUMBER cs url NUMBER biz,,,
ham,end might still vomit okay everyth come,,,
ham,money money aint thing sha,,,
ham,everyth weather keep extra warm cold noth seriou pl lot vitamin c,,,
ham,hey gal anyon u go e drive centr tmr,,,
ham,alway yahoo messeng send messag get may send mobil mode sha get repli,,,
ham,put readi lt time gt,,,
ham,time n smile r two crucial thing life sometim time make us forget smile sometim someon smile make us forget time gud noon,,,
spam,sm ac jsco energi high u may know 2channel 2day ur leadership skill r strong psychic repli an w question end repli end jsco,,,
ham,host base idp linux system,,,
spam,hot live fantasi call NUMBER 20p per min ntt ltd po box NUMBER croydon cr9 5wb NUMBER nation rate call,,,
ham,da what plan,,,
ham,ill lt gt ok,,,
ham,oh god almost home,,,
ham,total video convert free download type googl search,,,
spam,thank vote sing along star karaok mobil free link repli sing,,,
ham,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,,,
ham,sound like someth someon test would sayi,,,
ham,u love someon dont make love u much u love much dont want love anyon except gud nit,,,
ham,pete phone still jenni colleg leann,,,
ham,oop sorri check mind pick tomo half eight station would ok,,,
ham,hey sweet wonder moment might come want send file someon go yahoo connect suck rememb set page go download format disc could tell know way download big file download stuff directli internet help would great prey teas kiss,,,
ham,how champ leav glasgow,,,
ham,k best congrat,,,
ham,wonder get text,,,
ham,need come home give good lovin,,,
spam,brand new mobil music servic live free music player arriv shortli instal phone brows content top artist,,,
ham,shall ask one thing dont mistak,,,
ham,check wid corect spele e sarcasm,,,
spam,urgent mobil award å NUMBER NUMBER bonu caller prize NUMBER NUMBER NUMBER 2nd attempt contact call NUMBER NUMBER NUMBER box95qu bt nation rate,,,
ham,angri happen dear,,,
ham,thk u dun haf NUMBER hint e forum alreadi lor co told ron n darren go NUMBER tell shuhui,,,
ham,yup ok thanx,,,
ham,hi ct employe,,,
ham,pl pl find aunt nike,,,
ham,wow love sooo much know bare stand wonder day goe well love think miss,,,
ham,scream mean shout,,,
ham,hey happen de alright,,,
ham,pick receipt someth earlier,,,
ham,think chennai well settl,,,
ham,oh dang mean send lol,,,
ham,unfortun found pick sister airport even think go tri go one th,,,
ham,horribl bf v hungri,,,
ham,rememb day,,,
spam,nokia 7250i get win free auction take part send nokia NUMBER hg suite342 2land row w1jhl NUMBER,,,
ham,feel mr real valentin yo valentin even tho u hardli play,,,
ham,sound good finger make difficult type,,,
ham,midnight earliest,,,
ham,sure tri make xavier smoke want smoke told smoke much,,,
ham,k come nordstrom done,,,
ham,u konw waht rael friendship im gving yuo exmpel jsut ese tih msg evrey splle tih msg wrnog bt sitll yuo ra wihtuot ayn mitsak goodnight amp nice sleep sweet dream,,,
ham,press confer da,,,
spam,hello orang NUMBER month free access game news sport plu NUMBER free text NUMBER photo messag repli ye term appli url orang co uk ow,,,
ham,complet degre use join financ,,,
ham,good afternoon love job prospect miss lazi bleak hmmm happi fill love,,,
ham,shant disturb u anymor jia,,,
ham,bishan lar nearer need buy earli co buy gotta park car,,,
ham,dont know oh,,,
ham,dude sux snake got old raiden got buff,,,
ham,say hi get ass back south tampa prefer kegger,,,
ham,e msg ju u said thank gift,,,
ham,u,,,
ham,ok dear call chechi,,,
ham,yeah tote u wanna,,,
ham,ok found di pierr cardin one look normal cost NUMBER sale,,,
ham,good sleep rhythm person establish rhythm bodi learn use want know,,,
ham,wat r u,,,
ham,messag truro hospit ext phone phone side,,,
ham,singl line big mean miss anyth NUMBER ur best life," don't miss ur best life for anything... Gud nyt...""",,
ham,got ga money chanc gang want go grand natur adventur,,,
ham,dnt worri use ice piec cloth pack also take NUMBER tablet,,,
ham,dude saw park car sunroof pop sux,,,
ham,get readi put excel sub face,,,
ham,tmrw im finish NUMBER door,,,
ham,lt gt g saw day ago guy want sell wifi lt gt 3g lt gt blank,,,
ham,late,,,
ham,whatev im pretti piss,,,
ham,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,,,
ham,dont much imag class,,,
ham,got rumour go buy apart chennai,,,
ham,near kalainar tv offic thenampet,,,
spam,ur cash balanc current NUMBER pound maxim ur cash send go NUMBER 150p msg cc NUMBER hg suite342 2land row w1j6hl,,,
spam,sm auction brand new nokia NUMBER NUMBER auction today auction free NUMBER join take part txt nokia NUMBER hg suite342 2land row w1j6hl,,,
ham,si catch e show e afternoon watch w c u wan NUMBER watch today tmr lor,,,
ham,sound gd haha wah u yan jiu fast liao,,,
ham,nosi guess idk react freak,,,
ham,rememb hurt day satan impost need pay price may destini keep go u said pray get mind get,,,
ham,make girl happi difficult make girl happi u need NUMBER friend NUMBER companion NUMBER lover NUMBER chef lt gt good listen lt gt organ lt gt good boyfriend lt gt clean lt gt sympathet lt gt athlet lt gt warm lt gt courag lt gt determin lt gt true lt gt depend lt gt intellig lt gt psychologist lt gt pest extermin lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniy pudunga venaam,,,
ham,princess bet brotha chase,,,
ham,shall book chez jule half eight ok,,,
ham,hhahhaahahah rofl wtf nig leonardo room someth,,,
ham,yep derek hous see sunday lt NUMBER,,,
ham,cool let know kick around lt gt day,,,
ham,sorri call later,,,
ham,wonder would okay call uncl john let know thing nigeria r lt gt dollar 2year sent know strain plan pay back everi dime give everi dime expect anyth practic someth like,,,
ham,charg transfer charg withdraw anyhow like,,,
ham,dont search love let love find u that call fall love bcoz u dont forc u fall u know smeon hold u bslvyl,,,
ham,NUMBER let go bill miller,,,
ham,love set soul fire spark flame big rawr flame xoxo,,,
ham,somewhr someon sure made NUMBER u god decid perfect time make u meet dat person till den enjoy ur crush,,,
ham,honeymoon outfit,,,
ham,help propos go back tomorrow,,,
spam,privat NUMBER account statement show NUMBER un redeem point call NUMBER identifi code NUMBER expir NUMBER NUMBER NUMBER,,,
ham,never blame day ur life good day give u happi bad day give u experi essenti life god bless good morn,,,
ham,pl confirm time collect chequ,,,
spam,regist subscrib yr draw NUMBER å NUMBER gift voucher b enter receipt correct an next olymp txt an NUMBER,,,
spam,urgent mobil number award å NUMBER prize guarante call NUMBER land line claim NUMBER valid 12hr 150ppm,,,
ham,daddi take good care,,,
ham,yeah probabl still gotta check leo,,,
ham,k special,,,
ham,carlo take sweet time usual let know patti done want smoke tell haul ass,,,
ham,ok pa noth problem,,,
ham,heard job go wildlif talk tonight u want2com that2worzel wizzl whatev,,,
ham,god pick flower dippeditinadew lovingli touch itwhichturnedinto u gift tomeandsaid friend 4u,,,
ham,came hostel,,,
ham,ok prob come lunch,,,
ham,ju tell u dat b leav NUMBER shanghai 21st instead haf time NUMBER meet cya,,,
ham,freez home yet rememb kiss mom morn love think miss yet,,,
ham,readi big day tomorrow,,,
ham,probabl around mu lot,,,
ham,NUMBER,,,
spam,rt king pro video club need help infoemailadressringtonek co uk call NUMBER must NUMBER club credit redeem url ringtonek co uk enjoy,,,
ham,thnx dude u guy 2nite,,,
ham,sef dey laugh meanwhil darl anji,,,
ham,mm food da,,,
ham,k make sens btw carlo difficult guy gonna smoke go pick second batch get ga,,,
ham,u download fring app,,,
ham,NUMBER oz guy kinda flaki one friend interest pick dollar lt gt worth tonight possibl,,,
ham,friend u stay fb chat,,,
ham,fuck babe miss sooooo much wish sleep bed lone go sleep dream love,,,
ham,live simpl love also simpl laugh simpl win tooo simpl simpl difficult gud nte,,,
spam,u secret admir look NUMBER make contact u find r reveal think ur special call NUMBER,,,
ham,ah well confus thing û,,,
spam,NUMBER free text msg text ok NUMBER credit account,,,
ham,hi dear call urgnt know what problem want work problem least tell wate repli,,,
ham,dear ok,,,
spam,select stay NUMBER NUMBER top british hotel noth holiday worth å NUMBER claim call london NUMBER bx NUMBER sw73ss,,,
ham,ye princess want make happi,,,
ham,sound like mani talent would like go dinner date next week,,,
ham,go film 2day da 6pm sorri da,,,
ham,watch movi alreadi xy want NUMBER shop shop w,,,
ham,hello littl parti anim thought buzz friend grin remind love send naughti ador kiss,,,
ham,yesterday go home,,,
spam,eeri nokia tone 4u rpli tone titl NUMBER eg tone dracula NUMBER titl ghost addamsfa munster exorcist twilight url getz co uk pobox36504w45wq 150p,,,
ham,come life brought sun shini warm heart put constant smile face make feel love care,,,
ham,shit surpris went spent even french guy met town fool around bit let fuck,,,
spam,0adollarnetwork allow compani bill sm respons supplier," just as a shop has to give a guarantee on what they sell. B. G.""",,
ham,great comedi cant stop laugh da,,,
spam,freemsg feelin kinda lnli hope u like NUMBER keep compani jst got cam mobi wanna c pic txt repli date NUMBER msg150p 2rcv hlp NUMBER stop NUMBER,,,
ham,alright set text man,,,
ham,hi keen go kind feel go tomo mind,,,
ham,sleep nt feel well,,,
ham,u switch fone dammit,,,
ham,india take lead,,,
ham,post l8r class,,,
ham,tht wat wright brother fli,,,
ham,even v good somewhat event laden fill worri û_ head ok throat wreck see six,,,
ham,u laugh realli loud u talk spontan u dont care other feel u probabl dear amp best friend goodeven dear,,,
ham,laptop take,,,
ham,dont file bag work call tell find anyth room,,,
ham,wan earli lei outsid wun b home earli neva mind,,,
spam,ur chanc win å NUMBER cash everi wk txt action NUMBER c url movietrivia tv custcar NUMBER 1x150p wk,,,
ham,bugi juz wat walk home oredi ìï late repli oso saw top dat like din buy r ì_,,,
ham,wish famili merri x ma happi new year advanc,,,
ham,NUMBER go ok na,,,
ham,ye post coupl pic fb still snow outsid wake,,,
ham,one good partnership go take lead,,,
spam,rgent 2nd attempt contact u u å NUMBER call NUMBER b4 NUMBER csbcm4235wc1n3xx callcost 150ppm mobilesvari maxå NUMBER NUMBER,,,
ham,yeah class,,,
ham,send bec templ na,,,
ham,come home class right need work shower,,,
spam,hi ur lookin NUMBER sauci daytim fun wiv busti marri woman free next week chat NUMBER sort time NUMBER janinexx callså NUMBER minmobsmorelkpobox177hp51fl,,,
ham,mostli like,,,
ham,ìï v fan,,,
ham,dunno co v late n reach insid alreadi ate spageddi lor e gal r laugh lor,,,
ham,guess spent last night phase fourth dimens,,,
ham,dad gonna call get work ask crazi question,,,
ham,ye said,,,
ham,hurt n meaning line ever compromis everyth love," But at d end my love compromised me for everything:-(\"".. Gud mornin:-)""",,
ham,lmao nice NUMBER,,,
ham,glad see repli,,,
spam,urgent tri contact u today draw show å NUMBER prize guarante call NUMBER land line claim a21 valid 12hr,,,
spam,monthli password wap mobsi com NUMBER use wap phone pc,,,
ham,nah dub je still buff,,,
ham,pain word thought happi toughest thing earth," the toughest is acting Happy with all unspoken pain inside..\""""",,
ham,yeah fine å NUMBER get ok,,,
ham,lol u come idea,,,
ham,mani peopl seem special first sight remain special till last sight maintain till life end sh ja,,,
ham,today song dedic day song u dedic send ur valuabl frnd first rpli,,,
ham,okay wait ah,,,
ham,lei,,,
ham,hi babe u r like bed im sorri tonight realli wanna see u tomorrow call NUMBER love xxx,,,
ham,alreadi squat new way walk,,,
ham,want bold NUMBER bb torch,,,
ham,cramp stop go back sleep,,,
spam,today vodafon number end NUMBER last four digit select receiv å NUMBER award number match pleas call NUMBER claim å NUMBER award,,,
spam,free top rington sub weekli rington get 1st week free send subpoli NUMBER NUMBER per week stop sm NUMBER,,,
ham,nan sonathaya soladha boss,,,
ham,bring tat cd forget,,,
spam,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr NUMBER å NUMBER NUMBER sp tyron,,,
ham,know rape dude poker,,,
ham,weightloss girl friend make load money ebay someth give thank god,,,
ham,gr8 see messag r u leav congrat dear school wat r ur plan,,,
ham,ìï eatin later eatin wif fren lei ìï go home first,,,
ham,finish alreadi yar keep say mushi embarrass ok,,,
ham,sorri man stash ran dri last night pick sunday,,,
ham,hai priya right doctor said pa,,,
spam,free msg sorri servic order NUMBER could deliv suffici credit pleas top receiv servic,,,
ham,ok,,,
ham,pleas ask mummi call father,,,
ham,come room cannot come hous co hous still messi haha,,,
ham,lost NUMBER kilo today,,,
ham,tast fish curri p,,,
ham,might accid tookplac somewher ghodbandar rd traffic move slove plz slip amp worri,,,
ham,yun ah ì_ wkg btw ì_ go nu sc ìï wana specialis wad,,,
ham,ye one woman man pleas tell like dislik bed,,,
ham,test earlier appreci call tomorrow,,,
ham,loverboy keep come queen hmmm ach speak miss despar,,,
ham,u meet fren dun wan meet ah muz b guy rite,,,
ham,promis though even gotten dinner yet,,,
ham,got back dislik bed,,,
ham,turn stereo love mi phone unknown album,,,
spam,hard live NUMBER chat 60p min choos girl connect live call NUMBER cheap chat uk biggest live servic vu bcm1896wc1n3xx,,,
ham,yeah see,,,
ham,ask u knw nt may ur frnd classmat,,,
ham,sorri earlier put fire around talk NUMBER actual life lol,,,
spam,wow boy r back take NUMBER uk tour win vip ticket pre book vip club txt club NUMBER trackmarqu ltd infoemailadressvipclub4u,,,
ham,missionari hook doggi hook stand,,,
ham,u better go sleep dun disturb u liao u wake msg lor,,,
ham,fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,,,
ham,watch hous ûò entertain ûò get whole hugh lauri thing ûò even stick ûò inde especi stick,,,
ham,thought prap meant anoth one goodo look tomorrow,,,
ham,hi jon pete ive bin NUMBER spain recent hav sum dinero left bill said u ur åôrent mayb interest hav NUMBER 000pe around å NUMBER tb jame,,,
ham,bold NUMBER lt gt,,,
ham,know shall speak lt gt minut,,,
ham,alrit hunni wot u NUMBER 2nite didnt end goin town ju da pub instead ju chillin da mo bedroom love jen xxx,,,
ham,went project centr,,,
ham,per request maangalyam alaipayuth set callertun caller press NUMBER copi friend callertun,,,
ham,lol yeah point guess,,,
ham,project w fren lor,,,
ham,lol well qualiti aint bad aint complain,,,
ham,k happen tonight,,,
spam,hi mandi sullivan call hotmix fm chosen receiv å NUMBER NUMBER easter prize draw pleas telephon NUMBER claim NUMBER NUMBER NUMBER prize transfer someon els,,,
ham,think go finn come,,,
ham,tire special,,,
ham,come tomorrow di,,,
ham,cant pick phone right pl send messag,,,
ham,k go sleep well take rest,,,
ham,u guy never invit anywher,,,
spam,ur go NUMBER bahama callfreefon NUMBER speak live oper claim either bahama cruis ofå NUMBER cash NUMBER opt txt x NUMBER,,,
ham,want pleas insid outsid bedroom,,,
ham,ey calm downon theacus itxt u co iwana know wotu r doin thew end haventcn u age ring ur up4 neth sat love j xxx,,,
ham,love wine dine ladi,,,
spam,someon conact date servic enter phone fanci find call landlin NUMBER pobox12n146tf15,,,
ham,iåõm cool ta luv v tire NUMBER caus doin load plan wk got social servic inspect nurseri take care spk sn x,,,
ham,know account detail ask mom send mom reach,,,
ham,think u wrong number,,,
ham,feel alway happi slowli becom habit amp final becom part life follow happi morn amp happi day,,,
